"","Gene","test.type","p_value","log2.mean.Cluster_Other","log2.mean.microglia","log2fold_change","Auc"
"1610","RIOK3","hurdle",0.125013320246029,5.641269,6.376777,0.735507999999999,0.387
"1127","LYPLAL1","hurdle",0.0411658372240894,5.962726,6.634448,0.671722,0.387
"579","ENY2","hurdle",0.0827442495395048,5.648237,6.176921,0.528684,0.387
"50","AHSA2","hurdle",0.00753746292676496,4.351102,5.472894,1.121792,0.387
"1751","SHC3","hurdle",0.00232953683468594,4.532373,5.735725,1.203352,0.386
"1514","PSMD14","hurdle",0.164317213991557,6.545483,7.211645,0.666162,0.386
"1422","PHF17","hurdle",0.179210312107963,5.40603,6.34607,0.94004,0.386
"1046","LOC150622","hurdle",0.114940846832568,6.157274,6.931919,0.774645,0.386
"395","COG6","hurdle",0.0226734378798089,5.48575,6.552285,1.066535,0.386
"2130","WDR47","hurdle",0.195320410988484,6.192606,6.790837,0.598231,0.385
"2113","VPS28","hurdle",0.121084566580651,5.441142,5.955069,0.513927,0.385
"2092","USP37","hurdle",0.0312442647025872,5.654852,6.360408,0.705556,0.385
"2010","TOPBP1","hurdle",0.00494095280950829,4.61895,6.426894,1.807944,0.385
"1721","SEP15","hurdle",0.0383271161845357,6.744716,8.452138,1.707422,0.384
"1339","NUFIP2","hurdle",0.0509316946876285,6.729534,8.451108,1.721574,0.384
"942","KLHL3","hurdle",0.0827314233010563,5.099855,7.040016,1.940161,0.384
"93","APPL1","hurdle",0.038052746158965,5.928881,7.318317,1.389436,0.384
"1817","SNAPIN","hurdle",0.17560245584769,4.516526,5.196233,0.679707000000001,0.383
"1473","POP7","hurdle",0.00446317334367406,3.305694,4.116864,0.81117,0.383
"1157","MBIP","hurdle",0.0120477769212218,4.896286,6.074944,1.178658,0.382
"2174","ZNF12","hurdle",0.00265572887586396,5.731549,8.653427,2.921878,0.381
"1904","SVIP","hurdle",0.00572884207017965,4.334184,5.350055,1.015871,0.381
"1628","RNF216","hurdle",0.0172790006879512,5.573059,6.441492,0.868433,0.381
"1241","MRPL19","hurdle",0.00708137649703976,5.217678,6.659639,1.441961,0.381
"1749","SH3YL1","hurdle",0.102868133142041,4.918978,5.542258,0.62328,0.38
"1696","SACM1L","hurdle",0.106635720021404,5.586961,6.464137,0.877176,0.38
"1182","MFN2","hurdle",0.0229046633985043,4.865893,5.960871,1.094978,0.38
"926","KIAA0947","hurdle",0.0102590793070381,5.382438,6.249825,0.867387000000001,0.38
"872","ILF2","hurdle",0.201482990118097,6.871093,7.830753,0.95966,0.38
"507","DLAT","hurdle",0.00136947722293707,4.870851,6.279146,1.408295,0.38
"1651","RPL28","hurdle",0.276643973484062,4.556505,5.099611,0.543106000000001,0.379
"946","KRAS","hurdle",0.149841090939709,6.068081,6.744498,0.676417,0.378
"341","CDKAL1","hurdle",0.015100896160869,4.458432,5.279843,0.821410999999999,0.378
"221","C1orf131","hurdle",0.0039345655189191,4.204051,5.429616,1.225565,0.378
"2008","TOMM22","hurdle",0.100893678447433,5.191058,6.337176,1.146118,0.377
"1881","STAG1","hurdle",0.135647621777114,4.997299,6.819061,1.821762,0.377
"1712","SDF2","hurdle",0.096936618389072,5.40982,6.031494,0.621674000000001,0.377
"696","GALNT1","hurdle",0.0122084456535901,5.230877,6.29531,1.064433,0.377
"613","FAM135A","hurdle",0.00287283200506993,4.828631,8.3973,3.568669,0.377
"276","CASK","hurdle",0.186799471813795,5.376899,6.669417,1.292518,0.377
"2088","UQCRFS1","hurdle",0.00419536560003912,4.223704,5.489045,1.265341,0.376
"929","KIAA1191","hurdle",0.0987014381621549,5.7508,6.781851,1.031051,0.376
"2074","UBR1","hurdle",0.0775632749219293,6.718321,7.510566,0.792244999999999,0.375
"200","C14orf135","hurdle",0.0034919939348135,5.610534,6.943687,1.333153,0.375
"1073","LOC401320","hurdle",0.00589399810600146,5.368745,6.210184,0.841439,0.374
"1660","RPS12","hurdle",0.114392160570736,5.125432,5.704941,0.579509,0.373
"1225","MLF1","hurdle",0.00240593980773332,5.497669,6.217473,0.719804,0.372
"1170","MED31","hurdle",0.00879262134864033,4.903472,5.425426,0.521954,0.372
"878","IQCB1","hurdle",0.0005015883738388,5.1865,7.020008,1.833508,0.372
"466","DARS","hurdle",0.119467843496608,6.332542,7.040701,0.708159,0.371
"361","CHMP1B","hurdle",0.0719216158348249,6.603497,8.092955,1.489458,0.371
"14","ACLY","hurdle",0.171562469325371,6.204582,7.148858,0.944275999999999,0.371
"1546","RAB3GAP1","hurdle",0.00259531053607345,6.239569,6.933396,0.693827,0.37
"1541","RAB1B","hurdle",0.00369545462139355,3.917897,4.712871,0.794974,0.37
"2122","WBSCR22","hurdle",0.0210929887343749,4.298925,5.408542,1.109617,0.369
"2080","UG0898H09","hurdle",0.00171258724508539,5.701976,8.01423,2.312254,0.369
"2073","UBL7","hurdle",0.00331322909182129,4.889969,6.196725,1.306756,0.369
"658","FKBP4","hurdle",0.0178047036100462,4.079205,4.602142,0.522937,0.369
"195","C12orf57","hurdle",0.0153628443540138,5.134774,5.838574,0.7038,0.369
"109","ARL4A","hurdle",0.00455800814459418,5.737492,6.761219,1.023727,0.368
"2083","UHRF1BP1","hurdle",0.00162909543044264,4.904368,6.98698,2.082612,0.367
"1966","TMED4","hurdle",0.0108636149480927,4.105926,5.191306,1.08538,0.367
"656","FIP1L1","hurdle",0.0709363384962263,5.255094,5.814743,0.559649,0.367
"207","C16orf13","hurdle",0.00131480276794687,3.139148,4.381975,1.242827,0.367
"1226","MLLT10","hurdle",0.00638384095585862,5.929057,6.969818,1.040761,0.366
"396","COIL","hurdle",0.0898373543335892,4.413839,5.677015,1.263176,0.366
"489","DENND4C","hurdle",0.00346650711498434,6.510321,7.743825,1.233504,0.364
"42","AFTPH","hurdle",0.104792265552393,5.828263,6.332708,0.504445,0.363
"628","FAM8A1","hurdle",0.00140833229829734,5.786703,7.300696,1.513993,0.362
"616","FAM177A1","hurdle",0.0307422409912591,4.814787,5.769177,0.95439,0.362
"246","C4orf43","hurdle",0.000391224290761275,2.886293,4.692092,1.805799,0.362
"1310","NGDN","hurdle",0.00112252718502782,5.859266,7.150128,1.290862,0.361
"415","CSAD","hurdle",0.0637829028309958,5.029512,5.797013,0.767500999999999,0.361
"1352","OGFOD1","hurdle",0.0114432273920792,5.692569,6.76454,1.071971,0.36
"385","CMIP","hurdle",0.027006960742726,3.544581,4.381975,0.837394,0.36
"1342","NUP54","hurdle",3.01294647719783e-05,5.132941,8.004782,2.871841,0.359
"907","KANSL3","hurdle",0.0392715032496983,5.206392,6.501439,1.295047,0.359
"279","CASP2","hurdle",0.00541496124992968,5.893862,6.415319,0.521457,0.359
"125","ATG2B","hurdle",0.00394475834180563,5.518879,7.385647,1.866768,0.359
"2067","UBC","hurdle",0.10332717475144,9.62918,10.2499,0.62072,0.358
"1555","RANBP6","hurdle",0.0190642830429529,6.005846,6.950264,0.944418,0.358
"817","HOOK3","hurdle",0.00196694428495544,6.784326,8.291919,1.507593,0.358
"2112","VPS13A","hurdle",0.00125357318266649,5.983133,7.620953,1.63782,0.357
"757","GTF3A","hurdle",0.0475032735692863,5.065833,5.708394,0.642561000000001,0.357
"44","AGAP6","hurdle",0.0158524001294358,3.301892,4.177918,0.876026,0.357
"1682","RSBN1L","hurdle",0.0321714137809668,3.78648,4.594698,0.808218,0.356
"620","FAM208B","hurdle",0.09819108096912,5.701151,7.278217,1.577066,0.356
"233","C22orf32","hurdle",0.0514998596475557,4.27114,5.321026,1.049886,0.356
"2042","TTC19","hurdle",0.00496829045092639,6.482761,7.113482,0.630721,0.354
"1481","PPP1R2","hurdle",0.00463357426405621,6.154415,7.218321,1.063906,0.353
"2171","ZMYM6","hurdle",0.00186606299654895,4.654735,5.559568,0.904833,0.352
"1248","MSH3","hurdle",0.0160909516209685,4.663649,5.780704,1.117055,0.352
"251","C6orf1","hurdle",0.0353192078972676,4.244225,5.176423,0.932198,0.35
"1719","SEL1L","hurdle",0.0580459806166227,7.201018,7.866352,0.665334,0.349
"1715","SEC14L1","hurdle",0.0131117914587641,6.184001,7.458714,1.274713,0.349
"1466","PMS1","hurdle",0.000135456511729975,5.805908,7.351823,1.545915,0.348
"473","DCBLD2","hurdle",0.00236206145899115,5.486946,5.995202,0.508256,0.348
"1533","PTPRZ1","hurdle",0.00321330352793422,9.057457,9.899036,0.841579000000001,0.347
"2063","U2AF1L4","hurdle",0.00625105249154478,4.276408,5.012904,0.736496,0.344
"954","LAP3","hurdle",0.0174295619406873,6.21321,6.893757,0.680547,0.338
"2226","ZNF738","hurdle",0.0146209145025065,3.767702,4.482203,0.714501,0.337
"40","ADRBK2","hurdle",0.0388799773268894,6.730392,7.232181,0.501789,0.337
"1168","MED14","hurdle",0.0115867992204115,5.744911,6.771985,1.027074,0.334
"1781","SLC30A9","hurdle",0.00786520909184815,7.034074,8.865656,1.831582,0.332
"34","ADK","hurdle",0.000113265468440822,5.139498,5.775775,0.636277000000001,0.331
"733","GOLM1","hurdle",0.000159616758416109,5.464287,6.363697,0.89941,0.33
"424","CSPP1","hurdle",0.0382029232483467,6.388923,7.047533,0.658609999999999,0.33
"1878","SSRP1","hurdle",0.000280143595596693,4.669351,6.084277,1.414926,0.329
"486","DENND1B","hurdle",0.000215915165837607,5.170804,7.220741,2.049937,0.329
"48","AGTPBP1","hurdle",0.000830683155672135,6.088795,7.376451,1.287656,0.328
"1901","SUPT16H","hurdle",0.040777120311713,6.662713,7.423431,0.760718,0.327
"1846","SOS2","hurdle",0.00230483754823671,6.596586,7.53945,0.942864,0.327
"1164","MDN1","hurdle",0.00173899226175858,6.658153,8.016669,1.358516,0.327
"750","GSPT1","hurdle",0.00106359118060043,6.255241,6.873136,0.617895,0.327
"1856","SPIN1","hurdle",0.0532784069132953,7.000582,8.025347,1.024765,0.325
"2041","TTC1","hurdle",0.0205095318206983,6.277051,6.781851,0.504799999999999,0.324
"1897","STXBP3","hurdle",0.000539298086674601,6.570132,8.156273,1.586141,0.323
"1703","SC5DL","hurdle",0.0186351821610508,7.187762,7.830357,0.642595,0.323
"142","BAALC","hurdle",5.53766895019705e-05,6.49137,8.166979,1.675609,0.323
"211","C16orf88","hurdle",0.00967965267646622,5.126967,5.739106,0.612139,0.32
"956","LARS","hurdle",0.0180269976854848,6.567533,7.340184,0.772651,0.318
"677","FOXJ3","hurdle",5.58086827108482e-05,6.128586,6.947345,0.818759,0.318
"1266","MYH10","hurdle",0.030813445404082,6.780867,7.90674,1.125873,0.316
"60","ALDH9A1","hurdle",0.000288732248134712,6.216026,7.546702,1.330676,0.315
"1547","RAB3GAP2","hurdle",0.00652448961905182,5.851949,6.493455,0.641506,0.309
"379","CLIC4","hurdle",0.000134667661553299,6.371021,7.800738,1.429717,0.308
"149","BBS7","hurdle",0.000156991236429578,5.363023,6.228338,0.865315,0.308
"2046","TTC3P1","hurdle",0.000396886626905685,4.745501,6.288405,1.542904,0.307
"1940","TH1L","hurdle",0.00266422978606421,5.228876,6.489447,1.260571,0.301
"748","GSK3B","hurdle",0.00219865185901958,5.171548,6.297604,1.126056,0.3
"2114","VPS45","hurdle",0.00390646013018343,6.185329,7.248876,1.063547,0.298
"1975","TMEM161B","hurdle",4.61701636255298e-05,4.500977,5.171427,0.670450000000001,0.296
"545","EEA1","hurdle",0.003551387021289,7.069004,8.03981,0.970806,0.29
"2035","TRO","hurdle",6.7564770848828e-05,5.829867,6.589277,0.75941,0.289
"1301","NDN","hurdle",0.000849497630953898,4.886166,5.767522,0.881355999999999,0.289
"1108","LRP6","hurdle",0.000374803440797363,6.70162,7.818023,1.116403,0.287
"322","CD46","hurdle",0.000710334357812874,7.139928,8.289904,1.149976,0.284
"848","IGDCC4","hurdle",4.1269757263495e-05,7.105058,7.780786,0.675728,0.277
"150","BCAP29","hurdle",5.20124750083446e-06,6.897785,7.411299,0.513514,0.273
"1709","SCN3A","hurdle",3.22429202771752e-05,6.763201,7.81322,1.050019,0.22
